127.0.0.1 - - [04/May/2022:14:51:34 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "POST /notification/list HTTP/1.1" 200 19502
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/doclogo3.png HTTP/1.1" 200 85198
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/icon/icon_search.svg HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/icon/bell.svg HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/upload/empPic/2022/04/19/b72082f4-4e8f-42ef-8872-d2e0768b5420_DSC_9580__.jpg HTTP/1.1" 200 203006
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "POST /main/secEmpList HTTP/1.1" 200 21096
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/icon/icon_search.svg HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/icon/bell.svg HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/img/doclogo3.png HTTP/1.1" 200 85198
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/upload/empPic/%EA%B8%B0%EB%B3%B8%ED%94%84%EB%A1%9C%ED%95%84.png HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "GET /resources/upload/empPic/2022/04/19/b72082f4-4e8f-42ef-8872-d2e0768b5420_DSC_9580__.jpg HTTP/1.1" 200 203006
0:0:0:0:0:0:0:1 - - [04/May/2022:14:51:48 +0900] "POST /notification/toast HTTP/1.1" 200 12
